Kills,Deaths
28,21
23,12
19,14
26,16
19,19
21,19
21,20
28,9
28,20
24,10
18,5
17,17
25,14
24,18
19,18
11,15
19,17
16,12
10,1
24,13
28,18
28,21
22,18
14,18
20,22
33,19
17,21
15,23
10,7
26,6
22,13
22,22
15,9
28,19
11,5
-1,4
19,5
6,2
17,19
22,7
16,19
10,17
22,20
19,18
20,21
17,14
14,21
38,20
13,20
15,17
2,8
21,19
25,10
29,13
22,13
24,19
31,22
31,13
19,12
16,7
19,19
24,25
23,19
25,15
28,20
33,20
21,17
18,22
20,15
20,15
14,5
20,22
21,23
23,8
26,17
32,13
24,6
28,11
20,18
34,19
14,17
22,19
28,23
43,19
27,21
11,18
0,5
15,11
28,20
7,22
13,26
15,20
25,18
12,22
15,11
9,9
20,13
12,19
37,11
