﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:1F1QmI8TMHir9SUFrooq5F","Buff Baby","tobi lou","tobi lou and the Loop - EP","1","2","215384","spotify:user:jmlern16","2018-11-17T00:58:59Z"
"spotify:track:0F58GE2TtHBim5o4ZTQUwK","Peach Fuzz","Tyler, The Creator","Peach Fuzz","1","1","156546","spotify:user:jmlern16","2018-11-16T03:14:51Z"
"spotify:track:4WC72P8F0CnYmqoPYQ7JDD","Bottom of the Bottle (feat. August Alsina & Lil Wayne)","Curren$y, August Alsina, Lil Wayne","Canal Street Confidential (Deluxe)","1","7","238338","spotify:user:jmlern16","2018-11-16T03:14:54Z"
"spotify:track:4gX5wWBuArhoyV17bVPeBb","Can I Live feat. Mac Miller","Casey Veggies, Mac Miller","Sleeping in Class","1","15","237365","spotify:user:jmlern16","2018-11-16T03:14:58Z"
"spotify:track:61oqzUM14vEnW5pV9f3qOc","Come Inside (Kaytranada Edit)","Lou Phelps, KAYTRANADA, Jazz Cartier","Come Inside (Kaytranada Edit)","1","1","266599","spotify:user:jmlern16","2018-11-16T03:15:26Z"
"spotify:track:1rfGO3N4DPGodJLSSY9Re5","Sticky","Ravyn Lenae","Sticky","1","1","196754","spotify:user:jmlern16","2018-11-16T03:15:14Z"
"spotify:track:1HA2V2EfAgJUBVOju4YfiB","Just A Stranger (feat. Steve Lacy)","Kali Uchis, Steve Lacy","Isolation","1","3","177697","spotify:user:jmlern16","2018-11-16T03:16:18Z"
"spotify:track:01bfHCsUTwydXCHP1VoLlI","Roll (Burbank Funk)","The Internet","Hive Mind","1","2","191026","spotify:user:jmlern16","2018-11-16T03:16:31Z"
"spotify:track:1cBs15tQeh4ewFqlwndESK","LSD (feat. Chance The Rapper)","Jamila Woods, Chance the Rapper","HEAVN","1","10","208329","spotify:user:jmlern16","2018-11-16T03:16:37Z"
"spotify:track:4YdRnTnXYwgI48kkzWy6uk","BUSY / SIRENS","Saba, theMIND","CARE FOR ME","1","1","329541","spotify:user:jmlern16","2018-11-16T03:18:39Z"
"spotify:track:16DHWSDlEa5K0JbMHnuMXM","Stay Right Here","Saba, Xavier Omär, Mick Jenkins","Stay Right Here","1","1","210133","spotify:user:jmlern16","2018-11-16T03:19:04Z"
"spotify:track:5x886ETFn4nUihXbxlO3cb","Understood","Mick Jenkins","Pieces of a Man","1","16","208570","spotify:user:jmlern16","2018-11-16T03:19:19Z"
"spotify:track:2aIFp8ww0MSsLQokxhGCAz","Padded Locks (feat. Ghostface Killah)","Mick Jenkins, Ghostface Killah","Pieces of a Man","1","9","225592","spotify:user:jmlern16","2018-11-16T03:20:15Z"
"spotify:track:4FZOSDwALdWxcGcRbwXWJ8","Tyrant (feat. Jorja Smith)","Kali Uchis, Jorja Smith","Isolation","1","6","204289","spotify:user:jmlern16","2018-11-16T03:20:27Z"
