﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
spotify:track:1NK79ccX32C9I8pm1tVaMY,She Knows Everything,Medicine,The Buried Life,1,4,257173,spotify:user:22vkvr3mkvyfxgt32egz7fmmy,2019-02-12T07:18:44Z
spotify:track:4mO54ujis9TgV02JgnREm4,Orbitron,Duster,"Transmission, Flux",1,1,138266,spotify:user:22vkvr3mkvyfxgt32egz7fmmy,2019-03-07T11:20:14Z
spotify:track:3QFQUqMj5UkDcrYYKFA5Vb,The Diamond Sea,Sonic Youth,Washing Machine,1,11,1177293,spotify:user:22vkvr3mkvyfxgt32egz7fmmy,2019-02-12T10:40:50Z
spotify:track:7hrQx8C3rT5R447bmNnq5Y,Off Your Face,My Bloody Valentine,Glider,1,4,255426,spotify:user:22vkvr3mkvyfxgt32egz7fmmy,2019-02-12T07:19:35Z
spotify:track:4CvyYfm1JepE40fUYEoRa6,I Hate Rock N Roll,The Jesus and Mary Chain,Munki,1,17,224133,spotify:user:22vkvr3mkvyfxgt32egz7fmmy,2019-02-23T15:56:02Z
spotify:track:21xrImrAULwa0VT8n4BJoA,Dirt,The Stooges,Funhouse,1,4,420133,spotify:user:22vkvr3mkvyfxgt32egz7fmmy,2019-02-12T07:18:20Z
spotify:track:5a4bYjlqimbie2eQRXAFRx,Jams Runs Free,Sonic Youth,Rather Ripped,1,6,231506,spotify:user:22vkvr3mkvyfxgt32egz7fmmy,2019-02-18T23:00:19Z
spotify:track:1A6hWA2PuYJCvM5UoKGHRL,Swimsuit Issue,Sonic Youth,Dirty,1,2,179493,spotify:user:22vkvr3mkvyfxgt32egz7fmmy,2019-02-12T07:18:35Z
spotify:track:6jpoh4RC5NEp5hoilmMs8Y,The Pink,Medicine,The Buried Life,1,1,337866,spotify:user:22vkvr3mkvyfxgt32egz7fmmy,2019-02-12T07:18:49Z
spotify:track:7LTs6Y1ucZ3h62RmVMRQwu,Babydoll,Medicine,The Buried Life,1,2,189840,spotify:user:22vkvr3mkvyfxgt32egz7fmmy,2019-02-12T07:19:02Z
spotify:track:5IubD5PEcD7xIYzgG2NVCT,Liquid Paper,Airiel,Frosted,1,1,244893,spotify:user:22vkvr3mkvyfxgt32egz7fmmy,2019-02-12T07:19:07Z
spotify:track:5BYBWrug3wjqjChoMSsYJz,I'm Yrs,Medicine,Mechanical Forces Of Love,1,6,275626,spotify:user:22vkvr3mkvyfxgt32egz7fmmy,2019-02-12T07:19:11Z
spotify:track:6vNHkJiZZtKm4x8ESkfM4Q,Crank,Catherine Wheel,Chrome,1,3,225026,spotify:user:22vkvr3mkvyfxgt32egz7fmmy,2019-02-12T07:19:16Z
spotify:track:00YCRrySf0dJ6nRCKYSAkA,Pancake,Swirlies,Blonder Tongue Audio Baton,1,6,195613,spotify:user:22vkvr3mkvyfxgt32egz7fmmy,2019-02-12T07:19:22Z
spotify:track:0pVgFjjojISSczzmj66FTA,Jeremy Parker,Swirlies,Blonder Tongue Audio Baton,1,7,253666,spotify:user:22vkvr3mkvyfxgt32egz7fmmy,2019-02-12T07:19:27Z
spotify:track:3YsLo6O3bxt0NhsDOgxBAd,Don't Ask Why,My Bloody Valentine,Glider,1,3,243306,spotify:user:22vkvr3mkvyfxgt32egz7fmmy,2019-02-12T07:19:32Z
spotify:track:06kqVxin2I9UDejcTUFqIl,Soft as Snow (But Warm Inside),My Bloody Valentine,Isn't Anything,1,1,141040,spotify:user:22vkvr3mkvyfxgt32egz7fmmy,2019-02-12T07:19:45Z
spotify:track:3ow0TQVttXQF8rLckmXgRx,Cherub Rock - Remastered 2011,The Smashing Pumpkins,Siamese Dream (Deluxe Edition),1,1,298253,spotify:user:22vkvr3mkvyfxgt32egz7fmmy,2019-02-12T07:19:42Z
