date2,nsa2
"Saturday, January 7, 1967",346000
"Saturday, January 14, 1967",334000
"Saturday, January 21, 1967",277000
"Saturday, January 28, 1967",252000
"Saturday, February 4, 1967",274000
"Saturday, February 11, 1967",276000
"Saturday, February 18, 1967",247000
"Saturday, February 25, 1967",248000
"Saturday, March 4, 1967",326000
"Saturday, March 11, 1967",240000
"Saturday, March 18, 1967",225000
"Saturday, March 25, 1967",215000
"Saturday, April 1, 1967",223000
"Saturday, April 8, 1967",251000
"Saturday, April 15, 1967",289000
"Saturday, April 22, 1967",218000
"Saturday, April 29, 1967",216000
"Saturday, May 6, 1967",221000
"Saturday, May 13, 1967",188000
"Saturday, May 20, 1967",177000
"Saturday, May 27, 1967",170000
"Saturday, June 3, 1967",175000
"Saturday, June 10, 1967",188000
"Saturday, June 17, 1967",176000
"Saturday, June 24, 1967",178000
"Saturday, July 1, 1967",206000
"Saturday, July 8, 1967",322000
"Saturday, July 15, 1967",309000
"Saturday, July 22, 1967",282000
"Saturday, July 29, 1967",243000
"Saturday, August 5, 1967",250000
"Saturday, August 12, 1967",193000
"Saturday, August 19, 1967",174000
"Saturday, August 26, 1967",160000
"Saturday, September 2, 1967",163000
"Saturday, September 9, 1967",156000
"Saturday, September 16, 1967",165000
"Saturday, September 23, 1967",155000
"Saturday, September 30, 1967",154000
"Saturday, October 7, 1967",195000
"Saturday, October 14, 1967",159000
"Saturday, October 21, 1967",181000
"Saturday, October 28, 1967",174000
"Saturday, November 4, 1967",204000
"Saturday, November 11, 1967",201000
"Saturday, November 18, 1967",209000
"Saturday, November 25, 1967",200000
"Saturday, December 2, 1967",228000
"Saturday, December 9, 1967",258000
"Saturday, December 16, 1967",241000
"Saturday, December 23, 1967",289000
"Saturday, December 30, 1967",332000
"Saturday, January 6, 1968",357000
"Saturday, January 13, 1968",373000
"Saturday, January 20, 1968",293000
"Saturday, January 27, 1968",242000
"Saturday, February 3, 1968",308000
"Saturday, February 10, 1968",257000
"Saturday, February 17, 1968",214000
"Saturday, February 24, 1968",199000
"Saturday, March 2, 1968",198000
"Saturday, March 9, 1968",208000
"Saturday, March 16, 1968",179000
"Saturday, March 23, 1968",175000
"Saturday, March 30, 1968",165000
"Saturday, April 6, 1968",184000
"Saturday, April 13, 1968",167000
"Saturday, April 20, 1968",165000
"Saturday, April 27, 1968",216000
"Saturday, May 4, 1968",180000
"Saturday, May 11, 1968",164000
"Saturday, May 18, 1968",156000
"Saturday, May 25, 1968",148000
"Saturday, June 1, 1968",139000
"Saturday, June 8, 1968",149000
"Saturday, June 15, 1968",154000
"Saturday, June 22, 1968",152000
"Saturday, June 29, 1968",173000
"Saturday, July 6, 1968",266000
"Saturday, July 13, 1968",242000
"Saturday, July 20, 1968",216000
"Saturday, July 27, 1968",238000
"Saturday, August 3, 1968",235000
"Saturday, August 10, 1968",222000
"Saturday, August 17, 1968",160000
"Saturday, August 24, 1968",148000
"Saturday, August 31, 1968",139000
"Saturday, September 7, 1968",135000
"Saturday, September 14, 1968",141000
"Saturday, September 21, 1968",142000
"Saturday, September 28, 1968",143000
"Saturday, October 5, 1968",153000
"Saturday, October 12, 1968",151000
"Saturday, October 19, 1968",151000
"Saturday, October 26, 1968",152000
"Saturday, November 2, 1968",161000
"Saturday, November 9, 1968",174000
"Saturday, November 16, 1968",196000
"Saturday, November 23, 1968",211000
"Saturday, November 30, 1968",180000
"Saturday, December 7, 1968",223000
"Saturday, December 14, 1968",233000
"Saturday, December 21, 1968",243000
"Saturday, December 28, 1968",333000
"Saturday, January 4, 1969",290000
"Saturday, January 11, 1969",337000
"Saturday, January 18, 1969",265000
"Saturday, January 25, 1969",236000
"Saturday, February 1, 1969",250000
"Saturday, February 8, 1969",248000
"Saturday, February 15, 1969",219000
"Saturday, February 22, 1969",199000
"Saturday, March 1, 1969",206000
"Saturday, March 8, 1969",195000
"Saturday, March 15, 1969",179000
"Saturday, March 22, 1969",158000
"Saturday, March 29, 1969",157000
"Saturday, April 5, 1969",170000
"Saturday, April 12, 1969",187000
"Saturday, April 19, 1969",168000
"Saturday, April 26, 1969",151000
"Saturday, May 3, 1969",150000
"Saturday, May 10, 1969",157000
"Saturday, May 17, 1969",141000
"Saturday, May 24, 1969",138000
"Saturday, May 31, 1969",135000
"Saturday, June 7, 1969",148000
"Saturday, June 14, 1969",145000
"Saturday, June 21, 1969",155000
"Saturday, June 28, 1969",177000
"Saturday, July 5, 1969",267000
"Saturday, July 12, 1969",271000
"Saturday, July 19, 1969",246000
"Saturday, July 26, 1969",221000
"Saturday, August 2, 1969",223000
"Saturday, August 9, 1969",210000
"Saturday, August 16, 1969",168000
"Saturday, August 23, 1969",154000
"Saturday, August 30, 1969",144000
"Saturday, September 6, 1969",133000
"Saturday, September 13, 1969",149000
"Saturday, September 20, 1969",147000
"Saturday, September 27, 1969",147000
"Saturday, October 4, 1969",159000
"Saturday, October 11, 1969",168000
"Saturday, October 18, 1969",155000
"Saturday, October 25, 1969",171000
"Saturday, November 1, 1969",174000
"Saturday, November 8, 1969",206000
"Saturday, November 15, 1969",196000
"Saturday, November 22, 1969",230000
"Saturday, November 29, 1969",219000
"Saturday, December 6, 1969",247000
"Saturday, December 13, 1969",264000
"Saturday, December 20, 1969",289000
"Saturday, December 27, 1969",320000
"Saturday, January 3, 1970",344000
"Saturday, January 10, 1970",429000
"Saturday, January 17, 1970",386000
"Saturday, January 24, 1970",316000
"Saturday, January 31, 1970",293000
"Saturday, February 7, 1970",324000
"Saturday, February 14, 1970",308000
"Saturday, February 21, 1970",285000
"Saturday, February 28, 1970",241000
"Saturday, March 7, 1970",270000
"Saturday, March 14, 1970",258000
"Saturday, March 21, 1970",233000
"Saturday, March 28, 1970",236000
"Saturday, April 4, 1970",250000
"Saturday, April 11, 1970",300000
"Saturday, April 18, 1970",339000
"Saturday, April 25, 1970",299000
"Saturday, May 2, 1970",278000
"Saturday, May 9, 1970",279000
"Saturday, May 16, 1970",242000
"Saturday, May 23, 1970",231000
"Saturday, May 30, 1970",224000
"Saturday, June 6, 1970",234000
"Saturday, June 13, 1970",242000
"Saturday, June 20, 1970",245000
"Saturday, June 27, 1970",247000
"Saturday, July 4, 1970",309000
"Saturday, July 11, 1970",369000
"Saturday, July 18, 1970",353000
"Saturday, July 25, 1970",329000
"Saturday, August 1, 1970",293000
"Saturday, August 8, 1970",278000
"Saturday, August 15, 1970",257000
"Saturday, August 22, 1970",238000
"Saturday, August 29, 1970",220000
"Saturday, September 5, 1970",240000
"Saturday, September 12, 1970",207000
"Saturday, September 19, 1970",247000
"Saturday, September 26, 1970",256000
"Saturday, October 3, 1970",284000
"Saturday, October 10, 1970",287000
"Saturday, October 17, 1970",259000
"Saturday, October 24, 1970",280000
"Saturday, October 31, 1970",283000
"Saturday, November 7, 1970",333000
"Saturday, November 14, 1970",307000
"Saturday, November 21, 1970",333000
"Saturday, November 28, 1970",354000
"Saturday, December 5, 1970",378000
"Saturday, December 12, 1970",370000
"Saturday, December 19, 1970",354000
"Saturday, December 26, 1970",451000
"Saturday, January 2, 1971",443000
"Saturday, January 9, 1971",500000
"Saturday, January 16, 1971",452000
"Saturday, January 23, 1971",399000
"Saturday, January 30, 1971",353000
"Saturday, February 6, 1971",375000
"Saturday, February 13, 1971",333000
"Saturday, February 20, 1971",286000
"Saturday, February 27, 1971",289000
"Saturday, March 6, 1971",306000
"Saturday, March 13, 1971",275000
